rank,first_name,last_name,full_name,country
1,Aryna,Sabalenka,Aryna Sabalenka,BLR
2,Iga,Swiatek,Iga Swiatek,POL
3,Coco,Gauff,Coco Gauff,USA
4,Amanda,Anisimova,Amanda Anisimova,USA
5,Jessica,Pegula,Jessica Pegula,USA
6,Mirra,Andreeva,Mirra Andreeva,RUS
7,Madison,Keys,Madison Keys,USA
8,Jasmine,Paolini,Jasmine Paolini,ITA
9,Elena,Rybakina,Elena Rybakina,KAZ
10,Ekaterina,Alexandrova,Ekaterina Alexandrova,RUS
11,Qinwen,Zheng,Qinwen Zheng,CHN
12,Clara,Tauson,Clara Tauson,DEN
13,Elina,Svitolina,Elina Svitolina,UKR
14,Belinda,Bencic,Belinda Bencic,SUI
15,Emma,Navarro,Emma Navarro,USA
16,Naomi,Osaka,Naomi Osaka,JPN
17,Linda,Noskova,Linda Noskova,CZE
18,Liudmila,Samsonova,Liudmila Samsonova,RUS
19,Diana,Shnaider,Diana Shnaider,RUS
20,Karolina,Muchova,Karolina Muchova,CZE
21,Elise,Mertens,Elise Mertens,BEL
22,Daria,Kasatkina,Daria Kasatkina,AUS
23,Paula,Badosa,Paula Badosa,ESP
24,Victoria,Mboko,Victoria Mboko,CAN
25,Jelena,Ostapenko,Jelena Ostapenko,LAT
26,Sofia,Kenin,Sofia Kenin,USA
27,Leylah,Fernandez,Leylah Fernandez,CAN
28,Marta,Kostyuk,Marta Kostyuk,UKR
29,Emma,Raducanu,Emma Raducanu,GBR
30,Dayana,Yastremska,Dayana Yastremska,UKR
31,Veronika,Kudermetova,Veronika Kudermetova,RUS
32,Barbora,Krejcikova,Barbora Krejcikova,CZE
33,Mccartney,Kessler,Mccartney Kessler,USA
34,Maya,Joint,Maya Joint,AUS
35,Iva,Jovic,Iva Jovic,USA
36,Marketa,Vondrousova,Marketa Vondrousova,CZE
37,Anna,Kalinskaya,Anna Kalinskaya,RUS
38,Lois,Boisson,Lois Boisson,FRA
39,Laura,Siegemund,Laura Siegemund,GER
40,Jessica Bouzas,Maneiro,Jessica Bouzas Maneiro,ESP
41,Marie,Bouzkova,Marie Bouzkova,CZE
42,Ann,Li,Ann Li,USA
43,Tatjana,Maria,Tatjana Maria,GER
44,Eva,Lys,Eva Lys,GER
45,Katerina,Siniakova,Katerina Siniakova,CZE
46,Emiliana,Arango,Emiliana Arango,COL
47,Jaqueline,Cristian,Jaqueline Cristian,ROU
48,Ashlyn,Krueger,Ashlyn Krueger,USA
49,Olga,Danilovic,Olga Danilovic,SRB
50,Anastasia,Pavlyuchenkova,Anastasia Pavlyuchenkova,RUS
51,Sorana,Cirstea,Sorana Cirstea,ROU
52,Beatriz Haddad,Maia,Beatriz Haddad Maia,BRA
53,Anastasia,Potapova,Anastasia Potapova,RUS
54,Alexandra,Eala,Alexandra Eala,PHI
55,Maria,Sakkari,Maria Sakkari,GRE
56,Magda,Linette,Magda Linette,POL
57,Suzan,Lamens,Suzan Lamens,NED
58,Sonay,Kartal,Sonay Kartal,GBR
59,Katie,Boulter,Katie Boulter,GBR
60,Viktorija,Golubic,Viktorija Golubic,SUI
61,Elsa,Jacquemot,Elsa Jacquemot,FRA
62,Xin Yu,Wang,Xin Yu Wang,CHN
63,Magdalena,Frech,Magdalena Frech,POL
64,Hailey,Baptiste,Hailey Baptiste,USA
65,Rebecca,Sramkova,Rebecca Sramkova,SVK
66,Alycia,Parks,Alycia Parks,USA
67,Peyton,Stearns,Peyton Stearns,USA
68,Danielle,Collins,Danielle Collins,USA
69,Yulia,Putintseva,Yulia Putintseva,KAZ
70,Antonia,Ruzic,Antonia Ruzic,CRO
71,Solana,Sierra,Solana Sierra,ARG
72,Cristina,Bucsa,Cristina Bucsa,ESP
73,Anna,Blinkova,Anna Blinkova,RUS
74,Francesca,Jones,Francesca Jones,GBR
75,Polina,Kudermetova,Polina Kudermetova,RUS
76,Zeynep,Sonmez,Zeynep Sonmez,TUR
77,Ons,Jabeur,Ons Jabeur,TUN
78,Tereza,Valentova,Tereza Valentova,CZE
79,Donna,Vekic,Donna Vekic,CRO
80,Anastasia,Zakharova,Anastasia Zakharova,RUS
81,Moyuka,Uchijima,Moyuka Uchijima,JPN
82,Renata,Zarazua,Renata Zarazua,MEX
83,Varvara,Gracheva,Varvara Gracheva,FRA
84,Lucia,Bronzetti,Lucia Bronzetti,ITA
85,Camila,Osorio,Camila Osorio,COL
86,Caroline,Dolehide,Caroline Dolehide,USA
87,Ella,Seidel,Ella Seidel,GER
88,Caty,Mcnally,Caty Mcnally,USA
89,Kimberly,Birrell,Kimberly Birrell,AUS
90,Anna,Bondar,Anna Bondar,HUN
91,Elisabetta,Cocciaretto,Elisabetta Cocciaretto,ITA
92,Aoi,Ito,Aoi Ito,JPN
93,Leolia,Jeanjean,Leolia Jeanjean,FRA
94,Priscilla,Hon,Priscilla Hon,AUS
95,Katie,Volynets,Katie Volynets,USA
96,Dalma,Galfi,Dalma Galfi,HUN
97,Simona,Waltert,Simona Waltert,SUI
98,Janice,Tjen,Janice Tjen,INA
99,Elena Gabriela,Ruse,Elena Gabriela Ruse,ROU
100,Sara,Bejlek,Sara Bejlek,CZE
101,Darja,Semenistaja,Darja Semenistaja,LAT
102,Kamilla,Rakhimova,Kamilla Rakhimova,RUS
103,Mayar,Sherif,Mayar Sherif,EGY
104,Ajla,Tomljanovic,Ajla Tomljanovic,AUS
105,Veronika,Erjavec,Veronika Erjavec,SLO
106,Kaja,Juvan,Kaja Juvan,SLO
107,Diane,Parry,Diane Parry,FRA
108,Yue,Yuan,Yue Yuan,CHN
109,Jil,Teichmann,Jil Teichmann,SUI
110,Victoria Jimenez,Kasintseva,Victoria Jimenez Kasintseva,AND
111,Panna,Udvardy,Panna Udvardy,HUN
112,Oksana,Selekhmeteva,Oksana Selekhmeteva,RUS
113,Elina,Avanesyan,Elina Avanesyan,ARM
114,Aliaksandra,Sasnovich,Aliaksandra Sasnovich,BLR
115,Rebeka,Masarova,Rebeka Masarova,ESP
116,Greet,Minnen,Greet Minnen,BEL
117,Julia,Grabher,Julia Grabher,AUT
118,Anca Alexia,Todoni,Anca Alexia Todoni,ROU
119,Shuai,Zhang,Shuai Zhang,CHN
120,Katarzyna,Kawa,Katarzyna Kawa,POL
